run,final_equity,wealth_x,cagr,sharpe,maxdd,oos_wealth_x,oos_cagr,oos_sharpe,oos_maxdd,pct_days_invested,avg_positions,trades,win_rate,med_trade_ret,env_pctile,env_p_two_sided
SPY,339956.69,3.4,0.1305,0.77,-0.341,1.436,0.0951,0.594,-0.2536,100.0,1.0,0,,,,
RSP,253931.38,2.539,0.0979,0.597,-0.3963,1.177,0.0418,0.327,-0.2248,100.0,1.0,0,,,,
SCORE_RS_N5,176208.6,1.762,0.0584,0.349,-0.5832,1.132,0.0316,0.249,-0.363,100.0,4.98,304,0.697,0.0254,23.5,0.4776
SCORE_R_N5,486058.7,4.861,0.1717,0.834,-0.3986,1.336,0.0755,0.454,-0.2268,100.0,4.98,363,0.691,0.0265,98.0,0.0498
SCORE_S_N5,383309.78,3.833,0.1442,0.659,-0.3623,1.596,0.1246,0.617,-0.3328,100.0,4.98,316,0.674,0.0314,93.0,0.1493
RANKVOL_N5,651013.26,6.51,0.2066,0.951,-0.2982,1.92,0.1781,0.808,-0.2448,100.0,4.98,400,0.718,0.0313,100.0,0.01
SCORE_RS_N10,185874.02,1.859,0.0641,0.385,-0.5483,1.095,0.0231,0.213,-0.2874,100.0,9.95,602,0.664,0.0253,15.0,0.3085
SCORE_R_N10,318216.95,3.182,0.123,0.691,-0.3596,1.281,0.0642,0.426,-0.184,100.0,9.94,703,0.686,0.0257,88.0,0.2488
SCORE_S_N10,280111.16,2.801,0.1088,0.571,-0.359,1.225,0.0524,0.349,-0.2657,100.0,9.96,593,0.666,0.0295,72.0,0.5672
RANKVOL_N10,426301.67,4.263,0.1564,0.806,-0.318,1.406,0.0895,0.523,-0.2132,100.0,9.95,750,0.707,0.0273,99.0,0.0299
SCORE_RS_N20,213930.99,2.139,0.0792,0.468,-0.4318,1.159,0.0378,0.286,-0.2106,100.0,19.87,1234,0.676,0.0249,21.5,0.4378
SCORE_R_N20,239509.59,2.395,0.0915,0.557,-0.3778,1.062,0.0151,0.173,-0.2139,100.0,19.85,1397,0.681,0.0239,45.5,0.9154
SCORE_S_N20,234371.12,2.344,0.0891,0.512,-0.3771,1.229,0.0533,0.36,-0.1984,100.0,19.87,1211,0.679,0.0284,40.5,0.8159
RANKVOL_N20,385276.07,3.853,0.1448,0.796,-0.3402,1.336,0.0755,0.498,-0.1963,100.0,19.86,1456,0.702,0.0259,99.5,0.0199
SCORE_RS_BENCH_N10,346001.79,3.46,0.1325,0.663,-0.461,1.579,0.1216,0.621,-0.2033,99.2,9.68,672,0.714,0.0315,14.0,0.2886
SCORE_R_BENCH_N10,360648.19,3.606,0.1372,0.719,-0.3842,1.498,0.1069,0.599,-0.2001,99.2,9.66,714,0.707,0.0284,17.0,0.3483
SCORE_S_BENCH_N10,405670.61,4.057,0.1507,0.757,-0.3273,1.561,0.1185,0.616,-0.199,99.2,9.68,662,0.699,0.0314,39.5,0.796
RANKVOL_BENCH_N10,552887.57,5.529,0.187,0.904,-0.3866,2.049,0.1974,0.969,-0.1908,99.2,9.66,721,0.713,0.0311,88.5,0.2388
